date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:10	342618/342618	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2000:04:52%20GMT	https://www.attaqwa.co.id/	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/index.html	(from )
13:25:11	113/113	---MCZ	200	added ('OK')	text/plain	date:Sun,%2007%20May%202023%2006:25:18%20GMT	https://www.attaqwa.co.id/robots.txt		(from )
13:25:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20May%202023%2006:25:19%20GMT	http://www.attaqwa.co.id/wp-content/cache/wpfc-minified/6oknxxvr/f92s5.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/6oknxxvr/f92s5.0.delayed	(from https://www.attaqwa.co.id/)
13:25:12	777/777	---MCZ	200	added ('OK')	text/xml	date:Sun,%2007%20May%202023%2006:25:19%20GMT	https://www.attaqwa.co.id/comments/feed/	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/comments/feed/index.html	(from https://www.attaqwa.co.id/)
13:25:12	15388/15388	---MCZ	200	added ('OK')	text/xml	date:Sun,%2007%20May%202023%2006:25:19%20GMT	https://www.attaqwa.co.id/feed/	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/feed/index.html	(from https://www.attaqwa.co.id/)
13:25:12	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20May%202023%2006:25:20%20GMT	http://www.attaqwa.co.id/wp-content/cache/wpfc-minified/ruudxx7/f92si.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/ruudxx7/f92si.css	(from https://www.attaqwa.co.id/)
13:25:12	97555/97555	---MCZ	200	added ('OK')	text/css	etag:W/%22642f02af-17d13%22	https://www.attaqwa.co.id/wp-content/cache/wpfc-minified/6oknxxvr/f92s5.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/6oknxxvr/f92s5.css	(from https://www.attaqwa.co.id/)
13:25:13	152225/152225	---MCZ	200	added ('OK')	text/css	etag:W/%22642f02b2-252a1%22	https://www.attaqwa.co.id/wp-content/cache/wpfc-minified/ruudxx7/f92si.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/ruudxx7/f92si.css	(from https://www.attaqwa.co.id/)
13:25:14	28990/28990	---MCZ	200	added ('OK')	image/png	etag:W/%2260822e8c-713e%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/BG-umroh-1.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/BG-umroh-1.png	(from https://www.attaqwa.co.id/)
13:25:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20May%202023%2006:25:22%20GMT	http://www.attaqwa.co.id/wp-content/cache/wpfc-minified/7uiwrjqg/f92si.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/7uiwrjqg/f92si.css	(from https://www.attaqwa.co.id/)
13:25:14	31988/31988	---MCZ	200	added ('OK')	image/png	etag:W/%226066c845-7cf4%22	https://www.attaqwa.co.id/wp-content/uploads/2021/04/Vectorwave.png	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/04/Vectorwave.png	(from https://www.attaqwa.co.id/)
13:25:14	17638/17638	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226020ce40-44e6%22	https://www.attaqwa.co.id/wp-content/uploads/2021/02/BG-layout-WEB.jpg	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/uploads/2021/02/BG-layout-WEB.jpg	(from https://www.attaqwa.co.id/)
13:25:15	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20May%202023%2006:25:23%20GMT	http://www.attaqwa.co.id/wp-content/cache/wpfc-minified/8a95zcg6/f92si.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/8a95zcg6/f92si.css	(from https://www.attaqwa.co.id/)
13:25:15	73067/73067	---MCZ	200	added ('OK')	text/css	etag:W/%22642f02b2-11d6b%22	https://www.attaqwa.co.id/wp-content/cache/wpfc-minified/7uiwrjqg/f92si.css	D:/Pelatihan%20DIGIMAR/Alquran/www.attaqwa.co.id/wp-content/cache/wpfc-minified/7uiwrjqg/f92si.css	(from https://www.attaqwa.co.id/)
